property_name,link,price,configuration,specifications,seller,facilities,advantages
Aditya Homes,https://www.99acres.com/aditya-homes-boduppal-hyderabad-npxid-r401317,₹ 59.98 - 80.16 L,"['3 BHK', 'Apartment', 'Carpet Area', '1467 - 1636 sq.ft.', '(136.29 - 151.99 sq.m.)', ""₹ 71.88 - 80.16 L'}]""]","{'towers': '1', 'floors': '5', 'units': '75', 'total project area': '0.94 acres (3.8k sq.m.)'}",Aditya ConstructionsBuilder,"['Car wash area', 'Power Back up Lift', 'Toddler Pool', 'Badminton Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'CCTV Camera Security', 'Rain Water Harvesting', '24x7 Security']","{'nh-163': '650 mtr', 'apex hospitals': '3.1 km', 'anutex shopping mall': '3.7 km', 'sr junior college': '4.5 km', 'uppal metro station': '8.1 km', 'moula ali bypass cabin train station': '8.5 km', 'rajiv gandhi int. cricket stadium': '9.3 km', 'vidyaa bharathi public school': '10.2 km', 'shakar bhavan office complex': '19.6 km', 'rajiv gandhi international airport': '36.6 km'}"
Nirmal Landmark,https://www.99acres.com/nirmal-landmark-ramanthapur-hyderabad-npxid-r351267,₹ 82.5 L - 1.31 Cr,"['2 BHK', 'Apartment', 'Super Built-up Area', '1100 sq.ft.', '(102.19 sq.m.)', ""₹ 82.5 L'}"", '']","{'towers': '1', 'floors': '5', 'units': '55', 'total project area': '0.75785124 acres (3.07k sq.m.)'}",Nirmal Shelters (P) LtdBuilder,"['Multipurpose Court', 'CCTV Camera Security', 'Jogging Track', 'Gymnasium', 'Landscape Garden', '""Children\'s Play Area""', 'Car Parking', 'Senior Citizen Sitout']","{'cardinal gracious high school': '500 m', 'hyderabad janagam highway': '650 m', 'sai datta hospital': '1.7 km', 'rajiv gandhi intl cricket stadium': '3.1 km', 'bharti airtel msc': '3.3 km', 'dsl virtue mall3': '3.5 km', 'college of eng osmania university': '4.5 km', 'kacheguda railway station': '5.1 km', 'dilshuknagar metro station': '8.7 km', 'royalton hotel': '9.3 km', 'wonderland park': '11.7 km', 'hyderabad golf club': '19.1 km', 'rajiv gandhi international airport': '30.1 km'}"
Nirmal Landmark,https://www.99acres.com/nirmal-landmark-ramanthapur-hyderabad-npxid-r351267,₹ 82.5 L - 1.31 Cr,"['3 BHK', 'Apartment', 'Super Built-up Area', '1535 - 1745 sq.ft.', '(142.61 - 162.12 sq.m.)', ""₹ 1.15 - 1.31 Cr'}]""]","{'towers': '1', 'floors': '5', 'units': '55', 'total project area': '0.75785124 acres (3.07k sq.m.)'}",Nirmal Shelters (P) LtdBuilder,"['Multipurpose Court', 'CCTV Camera Security', 'Jogging Track', 'Gymnasium', 'Landscape Garden', '""Children\'s Play Area""', 'Car Parking', 'Senior Citizen Sitout']","{'cardinal gracious high school': '500 m', 'hyderabad janagam highway': '650 m', 'sai datta hospital': '1.7 km', 'rajiv gandhi intl cricket stadium': '3.1 km', 'bharti airtel msc': '3.3 km', 'dsl virtue mall3': '3.5 km', 'college of eng osmania university': '4.5 km', 'kacheguda railway station': '5.1 km', 'dilshuknagar metro station': '8.7 km', 'royalton hotel': '9.3 km', 'wonderland park': '11.7 km', 'hyderabad golf club': '19.1 km', 'rajiv gandhi international airport': '30.1 km'}"
Alekhya NSR County,https://www.99acres.com/alekhya-nsr-county-sangareddy-hyderabad-npxid-r370847,₹ 31.5 L - 2.1 Cr,"['Land', '', 'Plot Area', '1350 - 9000 sq.ft.', '(125.42 - 836.13 sq.m.)', ""₹ 31.5 L - 2.1 Cr'}]""]",{'total project area': '100 acres (404.69k sq.m.)'},ALEKHYA INFRAA DEVELOPERSDealer,"['Vastu Compliant', 'Rain Water Harvesting', '24x7 Security', 'Gated Community', 'Landscape Garden', '""Children\'s Play Area""']","{'iit hyderabad campus': '15 mins', 'gitam university': '25 mins', 'miyapur metro': '40 mins', 'woxen business school': '5 mins', 'regional ring road': '5 mins', 'mahindra tractors': '10 mins', 'united and carlsberg breweries': '20 mins', 'sangareddy': '20 mins', 'toshiba transmission': '20 mins', 'aurobindo pharma': '25 mins'}"
Ramky One Orbit,https://www.99acres.com/ramky-one-orbit-nallagandla-hyderabad-npxid-r398123,₹ 94.73 L - 1.48 Cr,"['2 BHK', 'Apartment', 'Super Built-up Area', '1180 - 1420 sq.ft.', '(109.63 - 131.92 sq.m.)', ""₹ 94.73 L - 1.14 Cr'}"", '']","{'towers': '6', 'floors': '14', 'units': '518', 'total project area': '5.25 acres (21.25k sq.m.)'}",Ramky Estates & Farms LtdBuilder,"['Car wash area', 'Swimming Pool', 'Theater Home', 'Creche/Day care', 'Grocery Shop', 'Billiards', 'Library', 'Cricket Pitch', 'Multipurpose Court']","{'aparna mall': '1.8 km', 'aksha hospitals': '2.5 km', 'sadhana infinity international school': '2.7 km', 'mumbai highway': '4.9 km', 'telapur railway station': '5.6 km', 'university of hyderabad': '6.9 km', 'hyatt hyderabad gachibowli': '8.3 km', 'gachibowli stadium': '10.6 km', 'ascendas it park': '10.7 km', 'miyapur metro station': '11.8 km', 'ocean park': '12 km', 'silver oak kala jyothi golf course': '13.8 km', 'begumpet airport': '25.9 km'}"
Ramky One Orbit,https://www.99acres.com/ramky-one-orbit-nallagandla-hyderabad-npxid-r398123,₹ 94.73 L - 1.48 Cr,"['3 BHK', 'Apartment', 'Super Built-up Area', '1390 - 1855 sq.ft.', '(129.14 - 172.34 sq.m.)', ""₹ 1.11 - 1.48 Cr'}]""]","{'towers': '6', 'floors': '14', 'units': '518', 'total project area': '5.25 acres (21.25k sq.m.)'}",Ramky Estates & Farms LtdBuilder,"['Car wash area', 'Swimming Pool', 'Theater Home', 'Creche/Day care', 'Grocery Shop', 'Billiards', 'Library', 'Cricket Pitch', 'Multipurpose Court']","{'aparna mall': '1.8 km', 'aksha hospitals': '2.5 km', 'sadhana infinity international school': '2.7 km', 'mumbai highway': '4.9 km', 'telapur railway station': '5.6 km', 'university of hyderabad': '6.9 km', 'hyatt hyderabad gachibowli': '8.3 km', 'gachibowli stadium': '10.6 km', 'ascendas it park': '10.7 km', 'miyapur metro station': '11.8 km', 'ocean park': '12 km', 'silver oak kala jyothi golf course': '13.8 km', 'begumpet airport': '25.9 km'}"
Praneeth Pranav Knightwoods,https://www.99acres.com/praneeth-pranav-knightwoods-beeramguda-hyderabad-npxid-r379018,₹ 1.86 - 2.45 Cr,"['3 BHK', 'Villa', 'Super Built-up Area', '1800 sq.ft.', '(167.23 sq.m.)', ""₹ 1.86 Cr'}"", '']","{'floors': '3', 'units': '463', 'total project area': '29.82 acres (120.68k sq.m.)'}",Sadguna PropertiesDealer,"['Mini Theatre', 'Swimming Pool', 'Jacuzzi', 'Skating Rink', 'Gazebo', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Party Lawn']","{'academic heights public school': '250 m', 'mumbai hwy': '4.2 km', 'bhel stadium': '6.7 km', 'miyapur metro station': '9 km', 'sarath city capital mall': '14.6 km', 'american university of st. vincent': '15.3 km', 'radisson hyderabad hitec city': '16.1 km', 'nagalapalli rlwy station': '16.3 km', 'emaar mgf boulder hills': '16.9 km', 'spaces & more business park': '17 km', 'flipside adventure park1': '18.2 km', 'rajiv gandhi international airport': '45 km'}"
Praneeth Pranav Knightwoods,https://www.99acres.com/praneeth-pranav-knightwoods-beeramguda-hyderabad-npxid-r379018,₹ 1.86 - 2.45 Cr,"['4 BHK', 'Villa', 'Super Built-up Area', '2000 - 2441 sq.ft.', '(185.81 - 226.78 sq.m.)', ""₹ 1.97 - 2.45 Cr'}]""]","{'floors': '3', 'units': '463', 'total project area': '29.82 acres (120.68k sq.m.)'}",Sadguna PropertiesDealer,"['Mini Theatre', 'Swimming Pool', 'Jacuzzi', 'Skating Rink', 'Gazebo', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Party Lawn']","{'academic heights public school': '250 m', 'mumbai hwy': '4.2 km', 'bhel stadium': '6.7 km', 'miyapur metro station': '9 km', 'sarath city capital mall': '14.6 km', 'american university of st. vincent': '15.3 km', 'radisson hyderabad hitec city': '16.1 km', 'nagalapalli rlwy station': '16.3 km', 'emaar mgf boulder hills': '16.9 km', 'spaces & more business park': '17 km', 'flipside adventure park1': '18.2 km', 'rajiv gandhi international airport': '45 km'}"
Vayun Meadows Block C,https://www.99acres.com/vayun-meadows-block-c-kapra-hyderabad-npxid-r75215,₹ 60.72 - 98.64 L,"['3 BHK', 'Apartment', 'Super Built-up Area', '1265 - 2055 sq.ft.', '(117.52 - 190.92 sq.m.)', ""₹ 60.72 - 98.64 L'}]""]","{'towers': '3', 'floors': '7', 'units': '88', 'total project area': '5 acres (20.23k sq.m.)'}",Anantha Infra Builder,"['Swimming Pool', 'Wi-Fi Connectivity', 'Property Staff', 'Video Door Security', 'Multipurpose Court', 'Vastu Compliant', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Rain Water Harvesting']","{'maithri enclave main road': '850 meter', 'orchids the international school': '3.3 km', 'thatha hospital': '3.5 km', 'secunderabad centre mall': '4.1 km', 'akshara international school': '5 km', 'ammuguda railway station': '5.2 km', 'hyderabad - ramagundam highway': '7.2 km', 'mettuguda metro station': '11.2 km', 'osmania university': '12.5 km', 'rajiv gandhi international airport': '44 km'}"
Cybercity Marina Skies,https://www.99acres.com/cybercity-marina-skies-hi-tech-city-hyderabad-npxid-r269091,₹ 1.07 - 3.91 Cr,"['2 BHK', 'Apartment', 'Super Built-up Area', '1160 - 1250 sq.ft.', '(107.77 - 116.13 sq.m.)', ""₹ 1.07 - 1.15 Cr'}"", '']","{'towers': '2', 'floors': '31', 'units': '1237', 'total project area': '10.7 acres (43.3k sq.m.)', 'open area': '82 %'}",Cybercity Builders And Developers Pvt LtdBuilder,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Reading Lounge', 'Salon', 'ATM', 'Barbecue', 'Restaurant', 'Jacuzzi']","{'mumbai highway': '3.1 km', 'nsl centrum mall': '3.8 km', 'borabanda railway station': '3.8 km', 'erragadda metro station': '4.6 km', 'orchids the international school': '4.9 km', 'neelima hospital': '5.9 km', 'international tech park hyderabad': '7.4 km', 'begumpet airport': '10.5 km', 'university college of science': '12 km', 'silver oak kala jyothi golf course': '5.6 km', 'jalavihar water park': '14.7 km', 'trident hotel hyderabad': '9.2 km', 'gmc balayogi sports complex': '12.2 km'}"
