property_name,SBA,avg_price,lat,long
Divine Space,1777.5,1.19055,17.4632,78.2865
Jade One,1717.0,0.8582000000000001,17.5366,78.4845
Aparna Sarovar Zicon,1073.0,1.735,17.4748,78.3103
Aparna Sarovar Zicon,996.5,2.165,17.4748,78.3103
Aparna Sarovar Zicon,1500.6666666666667,2.45,17.4748,78.3103
Aparna Serenity,1335.0,1.0,17.5366,78.4845
Aparna Serenity,1847.5,1.385,17.5366,78.4845
Aparna Serenity,2680.0,2.01,17.5366,78.4845
Cybercity Westbrook,1142.5,1.04945,17.3968,78.3348
Cybercity Westbrook,1840.0,1.69,17.3968,78.3348
Cybercity Westbrook,2400.0,2.21,17.3968,78.3348
Bricks Cyberwoods,716.75,0.9408,17.4416,78.2785
Bricks Cyberwoods,1550.0,1.09,17.4416,78.2785
Bricks Cyberwoods,1367.5,1.85,17.4416,78.2785
MPM SS Pinnacle,1285.5,1.16,17.4375,78.4482
MPM SS Pinnacle,1449.5,1.305,17.4375,78.4482
ASBL Spire,2012.5,2.01,17.3968,78.3348
Aakriti Miro,1259.5,1.0075500000000002,17.4748,78.3103
Aakriti Miro,1732.5,1.385,17.4748,78.3103
Suvela Projects Khairatabad,1755.0,1.84,17.4106,78.4652
Lalitha Majestic,1202.5,0.6734,17.4934,78.3278
Lalitha Majestic,1480.0,0.8288,17.4934,78.3278
Praneeth Pranav Daffodils,1350.5,0.68865,17.5502,78.3359
Praneeth Pranav Daffodils,1697.5,0.8633500000000001,17.5502,78.3359
SMR Vinay Iconia,1470.0,1.275,17.47,78.3534
SMR Vinay Iconia,2087.5,1.805,17.47,78.3534
SMR Vinay Iconia,2695.0,2.33,17.47,78.3534
Urbanrise The World of Joy,1348.0,0.8762000000000001,17.5169,78.3428
Urbanrise The World of Joy,1586.0,1.03325,17.5169,78.3428
Urbanrise The World of Joy,2324.0,1.51,17.5169,78.3428
Ramky One Harmony,1225.0,0.953,17.5186,78.3963
Ramky One Harmony,1492.5,1.095,17.5186,78.3963
Bricks Marvella,1480.0,0.9939,17.4632,78.2865
Bricks Marvella,2132.5,1.4249999999999998,17.4632,78.2865
Bricks Marvella,3570.0,2.39,17.4632,78.2865
Sree Kalpa Luxor,1286.5,0.7332000000000001,17.5186,78.3963
Sree Kalpa Luxor,1706.5,0.97025,17.5186,78.3963
Haimi Nirvana,1242.5,0.7178,17.5186,78.3963
Haimi Nirvana,1545.5,0.89285,17.5186,78.3963
Janapriya Nile Valley,1137.5,0.83405,17.4937,78.3401
Janapriya Nile Valley,1500.0,1.18,17.4937,78.3401
Janapriya Lake Front Apartments,885.0,0.5042,17.4885,78.5682
Janapriya Lake Front Apartments,1147.5,0.6392,17.4885,78.5682
GK s Ram s Arcade,2283.0,1.2,17.4885,78.5682
Sattva Lake Ridge,3133.5,3.51,17.3968,78.3348
Sattva Lake Ridge,4624.5,5.18,17.3968,78.3348
Sattva Lake Ridge,5472.0,6.13,17.3968,78.3348
Prestige Tranquil,1719.5,1.89,17.3968,78.3348
Avantikas Pushyami,455.0,0.5255,17.351292,
Modi Edifice,1449.0,0.7390000000000001,17.5513,78.3855
Modi Esteem,927.0,0.4635,17.5502,78.3359
Modi Paradise,857.0,0.4285,17.3271,78.6053
Modi Paradise,1240.0,0.62,17.3271,78.6053
Modi Sterling Heights,1566.5,0.80325,17.5366,78.4845
Modi Lake View,1042.5,0.52125,17.2619,78.388
Modi Lotus Homes,558.0,0.25665,17.4853,78.6099
Modi Lotus Homes,741.0,0.3409,17.4853,78.6099
Modi Lotus Homes,1087.5,0.50025,17.4853,78.6099
Anvita Ivana,860.6666666666666,0.8117,,78.491684
Anvita Ivana,1395.3333333333333,1.355,,78.491684
Vasavi Metropolis,1130.0,0.7117499999999999,17.3984,78.5583
Vasavi Metropolis,1662.5,1.04965,17.3984,78.5583
Goldenkey Meraki,1290.0,0.73515,17.5513,78.3855
Goldenkey Meraki,1812.5,1.0308,17.5513,78.3855
Continental Platinum Nest,1251.0,0.7129000000000001,17.363,78.3943
Continental Platinum Nest,1636.0,0.93235,17.363,78.3943
Praneeth Pranav Townsquare,850.3333333333334,0.82,17.5513,78.3855
Praneeth Pranav Townsquare,1554.0,1.04,17.5513,78.3855
Surya Classic,1075.0,0.48375,17.535,78.4022
My Home Apas,2705.0,2.76,17.3968,78.3348
My Home Apas,3312.5,3.38,17.3968,78.3348
Aditi Sri Shiva Balaji Elite,1215.0,0.48,17.5466,78.2131
S R Rain Forest,1260.5,0.8445499999999999,17.4062,78.3763
S R Rain Forest,1575.5,1.0550000000000002,17.4062,78.3763
Saanvi Athena Homes,1230.0,0.7872,17.4062,78.3763
Saanvi Athena Homes,1865.0,1.19,17.4062,78.3763
Himalaya Seven Hills,1187.5,0.7563,17.4632,78.2865
Himalaya Seven Hills,1692.5,1.42,17.4632,78.2865
Modi Elegance,867.0,0.4335,17.535,78.4022
Modi Elegance,1373.0,0.6864999999999999,17.535,78.4022
Suvela Sai Sreenija,2140.0,1.39,17.47,78.3534
Lansum Elena,1273.5,2.21,17.3968,78.3348
Lansum Elena,1785.25,3.155,17.3968,78.3348
Muppas Melody,1010.0,0.7517,17.4416,78.2785
Muppas Melody,1562.5,1.16,17.4416,78.2785
Teja Fortune Heights,1170.0,0.5967,17.5287,78.2667
Teja Fortune Heights,1555.0,0.79305,17.5287,78.2667
Brigade Citadel,825.0,1.145,17.4492,78.4182
Brigade Citadel,1102.0,1.5299999999999998,17.4492,78.4182
Prestige Beverly Hills,1198.5,1.315,17.3968,78.3348
Prestige Beverly Hills,1749.0,1.92,17.3968,78.3348
Rubrick Tripura,1737.5,0.94015,17.5752,78.4232
Team4 Nyla,1795.0,1.42,17.5169,78.3428
Sai Keerthi Signature,1822.5,1.46,17.47,78.3534
Advaitas Vibha,1177.5,0.68295,17.4416,78.2785
Advaitas Vibha,1780.0,1.0303,17.4416,78.2785
Signature Altius,1340.0,0.8039000000000001,,78.491684
Signature Altius,1875.0,1.1249,,78.491684
Navayuga Godavari,5037.5,6.8,17.4447,78.4664
Frontline Seven,1337.5,1.0550000000000002,17.3968,78.3348
Frontline Seven,2060.0,1.63,17.3968,78.3348
RNP 1,1935.0,1.66,17.47,78.3534
Kinetic Palazzo,1243.5,0.8580000000000001,17.4401,78.3489
Kinetic Palazzo,1714.0,1.1800000000000002,17.4401,78.3489
Western Springs,2837.5,2.625,17.3982,78.3749
GHR Titania,1284.0,1.05,17.47,78.3534
GHR Titania,2070.5,1.685,17.47,78.3534
Qubic West Winds,1270.0,0.7366,17.351292,
Qubic West Winds,1570.0,0.9106,17.351292,
Infocity Majestic,910.0,0.5186,17.338,78.3826
Infocity Majestic,1462.5,0.83275,17.338,78.3826
Infocity Majestic,1632.5,0.9319,17.338,78.3826
Sunshine Destino,1377.5,1.1949999999999998,17.4108,78.3416
Sunshine Destino,2280.5,1.985,17.4108,78.3416
Sunshine Destino,3255.0,2.83,17.4108,78.3416
Navya Symphony,1728.0,0.9508,17.5513,78.3855
Sobha Waterfront,2323.5,3.66,17.4237,78.4584
Sobha Waterfront,3166.0,4.99,17.4237,78.4584
Sunshine Green Meadows,1168.0,0.6189,17.5513,78.3855
Sunshine Green Meadows,1560.0,0.8266,17.5513,78.3855
Tripura Green Alpha,1265.0,0.9,17.4632,78.2865
Tripura Green Alpha,2020.0,1.46,17.4632,78.2865
