property_name,link,price,configuration,specifications,seller,facilities,advantages
Ramky One Orion,https://www.99acres.com/ramky-one-orion-pocharam-hyderabad-npxid-r405548,₹ 83 L - 1.2 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1265 - 1825 sq.ft.', 'area_sub_heading_two': '(117.52 - 169.55 sq.m.)', 'price_heading': '₹ 83 L - 1.2 Cr'}]",Towers|6|Floors|16|Units|1144|Total Project Area|10.07 acres (40.75K sq.m.),Ramky Estates & Farms LtdBuilder,"['Bus Shelter', 'Foosball', 'Swimming Pool', 'Football', 'Golf Course', 'Salon', 'Spa', 'Water Softener Plant', 'Creche/Day care']","{'Hyderabad - Warangal Highway': '1.2 Km', 'Hotel Tulips Grand': '2.8 Km', 'Mindspace Pocharam': '4 Km', 'MJR Square Mall': '4.9 Km', 'Rockwoods International School': '5.3 Km', 'Anurag University, Hyderabad': '5.3 Km', 'Ghatkesar Railway Station': '6.2 Km', 'Apex Hospitals': '9.2 Km', 'Dino World Dinosaur Park Hyderabad': '12.8 Km', 'Uppal Metro Station': '13.7 Km', 'Rajiv Gandhi International Stadium': '15.6 Km', 'Railway Golf Course': '19.8 Km', 'Begumpet Airport': '26.6 Km'}"
Kalyans Skyway 9,https://www.99acres.com/kalyans-skyway-9-narsingi-hyderabad-npxid-r388670,₹ 89.42 L - 1.46 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1315 - 1415 sq.ft.', 'area_sub_heading_two': '(122.17 - 131.46 sq.m.)', 'price_heading': '₹ 89.42 - 96.22 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1610 - 2140 sq.ft.', 'area_sub_heading_two': '(149.57 - 198.81 sq.m.)', 'price_heading': '₹ 1.09 - 1.46 Cr'}]",Towers|1|Floors|10|Units|111|Total Project Area|1.09 acres (4.41K sq.m.),KALYAN INFRA PROJECTSBuilder,"['Swimming Pool', 'Wi-Fi Connectivity', 'Table Tennis', 'Vastu Compliant', 'Basketball Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Sewage Treatment Plant', 'CCTV Camera Security']","{'Winridge Intl School': '2.6 km', 'iCon Square': '2.6 km', 'Aaron Hospital': '3.3 km', 'Nehru Outer Ring Rd': '4.2 km', 'Ocean Park': '6.4 km', 'KL University': '7.4 km', 'Hyderabad Golf Club': '8.4 km', 'Hyatt Hyderabad Gachibowli': '6.9 km', 'Raidurg train station': '10.5 km', 'Gachibowli Stadium': '10.8 km', 'Madhapur metro station': '13.3 km', 'Spaces & More Business Park 2': '15. 2 km', 'Rajiv Gandhi Intl Airport': '23.8 km'}"
Essen Marvella,https://www.99acres.com/essen-marvella-kompally-hyderabad-npxid-r341447,₹ 64.09 - 91.35 L,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1105 - 1320 sq.ft.', 'area_sub_heading_two': '(102.66 - 122.63 sq.m.)', 'price_heading': '₹ 64.09 - 76.56 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1480 - 1575 sq.ft.', 'area_sub_heading_two': '(137.5 - 146.32 sq.m.)', 'price_heading': '₹ 85.84 - 91.35 L'}]",Towers|2|Floors|5|Units|115|Total Project Area|1.65 acres (6.68K sq.m.),ESSEN INFRABuilder,"['Vastu Compliant', 'Badminton Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Indoor Games', 'CCTV Camera Security', 'Jogging Track', 'Rain Water Harvesting', '24x7 Security']","{'ICICI Bank': '5 min', 'Zilla Parishad High School': '12 min', 'Konark Hospitals': '16 min'}"
Anuhar Gautami Heights,https://www.99acres.com/anuhar-gautami-heights-miyapur-hyderabad-npxid-r411745,₹ 77.35 L - 1.28 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1190 - 1630 sq.ft.', 'area_sub_heading_two': '(110.55 - 151.43 sq.m.)', 'price_heading': '₹ 77.35 L - 1.06 Cr'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1654 - 1968 sq.ft.', 'area_sub_heading_two': '(153.66 - 182.83 sq.m.)', 'price_heading': '₹ 1.08 - 1.28 Cr'}]",Towers|1|Floors|10|Units|244|Total Project Area|2 acres (8.09K sq.m.)|Open Area|59 %,Anuhar HomesBuilder,"['Swimming Pool', 'Salon', 'High Speed Elevators', 'Spa', 'Library', 'Power Back up Lift', 'Vastu Compliant', 'Badminton Court', 'Multipurpose Hall']","{'Gautami Vidya Kshetra School': '200 Meter', 'NH 65': '1.65 KM', 'Srikara Hospitals, Miyapur': '2 KM', 'GSM Mall & Multiplex': '2.6 KM', 'Chandanagar Railway Station': '2.9 KM', 'Miyapur Metro Station': '3.2 KM', 'PJR Stadium': '3.5 KM', 'University of Hyderabad': '7.2 KM', 'Silver Oak Kala Jyothi Golf Course': '7.4 KM', 'Novotel Hyderabad Convention Centre': '7.6 KM', 'International Tech Park Hyderabad': '9.3 KM', 'Begumpet Airport': '17.8 KM', 'Rajiv Gandhi International Airport': '38.3 Km'}"
Abinandana Skylark 1,https://www.99acres.com/abinandana-skylark-1-kollur-hyderabad-npxid-r418357,₹ 73.83 L - 1.29 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1420 - 2485 sq.ft.', 'area_sub_heading_two': '(131.92 - 230.86 sq.m.)', 'price_heading': '₹ 73.83 L - 1.29 Cr'}]",Towers|3|Floors|10|Units|238|Total Project Area|2.05 acres (8.3K sq.m.)|Open Area|55 %,Abinandana Infra Reality LLPBuilder,"['Lounge', 'Bar/Chill-Out Lounge', 'Changing Area', 'Salon', 'Visitors Parking', 'Restaurant', 'High Speed Elevators', 'Spa', 'Creche/Day care']","{'RGI airport': '30 min', 'Hightech City': '32 Min', 'Nagulapalli station': '8 Min'}"
Lalitha Divine County,https://www.99acres.com/lalitha-divine-county-chandanagar-hyderabad-npxid-r378938,₹ 60.78 - 84.43 L,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1105 - 1200 sq.ft.', 'area_sub_heading_two': '(102.66 - 111.48 sq.m.)', 'price_heading': '₹ 60.78 - 66 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1450 - 1535 sq.ft.', 'area_sub_heading_two': '(134.71 - 142.61 sq.m.)', 'price_heading': '₹ 79.75 - 84.43 L'}]",Towers|4|Floors|5|Units|220|Total Project Area|2.18 acres (8.82K sq.m.),Lalitha Constructions and DevelopersBuilder,"['Clinic', 'Swimming Pool', 'Salon', 'Grocery Shop', 'Multipurpose Hall', 'Indoor Games', 'Sewage Treatment Plant', 'CCTV Camera Security', 'Club House']","{'G.S.M mall': 'Nearby', 'Cinetown': 'Nearby', 'More': 'Nearby', 'Vijetha': 'Nearby', 'D Mart': 'Nearby', 'PRK Hospitals': 'Nearby', 'Harsh Hospital': 'Nearby', 'Ankura Hospital': 'Nearby', 'APGVB Bank': 'Nearby', 'HDFC': 'Nearby', 'Delhi Public School': 'Nearby', 'Rainbow International': 'Nearby', 'Narayana High School': 'Nearby', 'Railway Station': 'Nearby', 'Miyapur Metro Station': 'Nearby'}"
Subishi Fortuna Towers,https://www.99acres.com/subishi-fortuna-towers-mokila-hyderabad-npxid-r380881,₹ 1.38 - 1.73 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '2395 - 2633 sq.ft.', 'area_sub_heading_two': '(222.5 - 244.61 sq.m.)', 'price_heading': '₹ 1.38 - 1.53 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '2715 - 2790 sq.ft.', 'area_sub_heading_two': '(252.23 - 259.2 sq.m.)', 'price_heading': '₹ 1.55 - 1.73 Cr'}]",Towers|1|Floors|15|Units|224|Total Project Area|2.43 acres (9.83K sq.m.),Ceyone Marketing Private LimitedDealer,"['Swimming Pool', 'Pergola', 'Piped Gas', 'Community Hall', 'Table Tennis', 'Sewage Treatment Plant', '24/7 Power Backup', 'Gymnasium', '24/7 Water Supply']",{}
BSCPL Bollineni Bion,https://www.99acres.com/bscpl-bollineni-bion-kondapur-hyderabad-npxid-r334823,₹ 2.3 - 4.19 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1840 - 2290 sq.ft.', 'area_sub_heading_two': '(170.94 - 212.75 sq.m.)', 'price_heading': '₹ 2.3 - 2.86 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '3350 sq.ft.', 'area_sub_heading_two': '(311.23 sq.m.)', 'price_heading': '₹ 4.19 Cr'}]",Towers|3|Floors|25|Units|890|Total Project Area|8.65 acres (35.01K sq.m.)|Open Area|75 %,BSCPL Infrastructure LtdBuilder,"['Bowling Alley', 'Bus Shelter', 'Clinic', 'Swimming Pool', 'Flower Garden', 'Reflexology Park', 'Changing Area', 'Salon', 'ATM']","{'Sarath City Capital Mall': '400 M', 'Apollo Spectra Hospitals': '800 M', 'Marriott Executive Apartments Hyderabad': '1.3 Km', 'CHIREC International School': '2.2 Km', 'Nehru Outer Ring Rd': '2.3 Km', 'HITEC City Metro Station': '3.6 Km', 'International Tech Park Hyderabad': '3.8 Km', 'University of Hyderabad': '4.1 Km', 'Gachibowli Stadium': '4.1 Km', 'Silver Oak Kala Jyothi Golf Course': '4.5 Km', 'Hi-Tech City Railway Station': '7.1 K', 'Begumpet Airport': '16.1 Km', 'Fly Zone Kondapur': '600 M'}"
SMR Vinay Heights,https://www.99acres.com/smr-vinay-heights-bandlaguda-jagir-hyderabad-npxid-r409622,₹ 74.97 L - 1.21 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1190 - 1390 sq.ft.', 'area_sub_heading_two': '(110.55 - 129.14 sq.m.)', 'price_heading': '₹ 74.97 - 87.57 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1590 - 1925.66 sq.ft.', 'area_sub_heading_two': '(147.72 - 178.9 sq.m.)', 'price_heading': '₹ 1 - 1.21 Cr'}]",Towers|1|Floors|10|Units|70|Total Project Area|0.5855779777 acres (2.37K sq.m.),SMR BUILDERS PRIVATE LIMITEDBuilder,"['Terrace Garden', 'Piped Gas', 'Multipurpose Hall', 'Indoor Games', 'Sewage Treatment Plant', 'CCTV Camera Security', '24x7 Security', '24/7 Power Backup', 'Gated Community']","{'Cryon Hospital': '2 Min', 'Time School': '3 Min', 'Shadan Medical College': '5 Min', 'Mrugavani National Park': '8 Min', 'Gachibowli Junction': '20 Min', 'Shamshabad Airport': '25 Min'}"
Mahaveer Crystal Garden,https://www.99acres.com/mahaveer-crystal-garden-attapur-hyderabad-npxid-r388431,₹ 1.39 - 4.54 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1640 - 2680 sq.ft.', 'area_sub_heading_two': '(152.36 - 248.98 sq.m.)', 'price_heading': '₹ 1.39 - 2.28 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '4550.01 - 5345 sq.ft.', 'area_sub_heading_two': '(422.71 - 496.57 sq.m.)', 'price_heading': '₹ 3.87 - 4.54 Cr'}]",Towers|3|Floors|35|Units|790|Total Project Area|5.0474190008 acres (20.43K sq.m.),MAHAVEER ESTATE PROJECTSBuilder,"['Swimming Pool', 'Conference room', 'Squash Court', 'Earthquake Resistant', 'Badminton Court', 'Entrance Lobby', 'Yoga/Meditation Area', 'Indoor Games', 'CCTV Camera Security']","{'Mythri Hospital Mehdipatnam': '700 m', 'PV Narasimha Rao Expy': '2.4 Km', 'Hyderabad Golf Club': '5.1 Km', 'University College of Science': '5.4 Km', 'International School Shaikpet': '5.7 Km', 'City Center Mall': '6.4 Km', 'Nampally Metro Station': '8.3 Km', 'LB Stadium': '7.8 Km', 'Park Hyatt Hyderabad- Hotel': '8.2 Km', 'Yakutpura Railway Station': '10.0 Km', 'Jalavihar Water Park': '11.3 Km', 'Ascendas IT Park': '11.3 Km', 'Rajiv Gandhi International Airport': '24.3 Km'}"
Vasavi Anandanilayam,https://www.99acres.com/vasavi-anandanilayam-lb-nagar-hyderabad-npxid-r403183,₹ 98.42 L - 3.02 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1330 - 1342 sq.ft.', 'area_sub_heading_two': '(123.56 - 124.68 sq.m.)', 'price_heading': '₹ 98.42 - 99.31 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1652 - 2555 sq.ft.', 'area_sub_heading_two': '(153.48 - 237.37 sq.m.)', 'price_heading': '₹ 1.22 - 1.89 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '4079 sq.ft.', 'area_sub_heading_two': '(378.95 sq.m.)', 'price_heading': '₹ 3.02 Cr'}]",Towers|11|Floors|33|Units|3576|Total Project Area|29.36 acres (118.82K sq.m.)|Open Area|72 %,VASAVI INFRACON LLPBuilder,"['Swimming Pool', 'Business Lounge', 'Volley Ball Court', 'Salon', 'Spa', 'Creche/Day care', 'Skating Rink', 'Cricket Pitch', 'Lawn Tennis Court']","{'L.B. Nagar Metro Station': '210 M', 'Saroornagar Indoor Stadium': '400 M', 'Vijayawada - Hyderabad Highway': '600 M', 'Tapasvi High School': '1 Km', 'Aware Gleneagles Global Hospital': '1.9 Km', 'Yakutpura Railway Station': '7.2 Km', 'DSL Virtue Mall': '7.4 Km', 'Osmania University': '11.2 Km', 'Railway Golf Course': '12.1 Km', 'Taj Falaknuma Palace': '12.5 Km', 'Diamond Business Park': '16 Km', 'Wonderland Park1': '16.4 Km', 'Rajiv Gandhi International Airport': '20.6 Km'}"
Prestige Clairemont,https://www.99acres.com/prestige-clairemont-kokapet-hyderabad-npxid-r402868,₹ 2.01 - 4.11 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Carpet Area', 'area_sub_heading_one': '1987.99 - 2943.93 sq.ft.', 'area_sub_heading_two': '(184.69 - 273.5 sq.m.)', 'price_heading': '₹ 2.01 - 2.98 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Carpet Area', 'area_sub_heading_one': '3499.99 - 4059.93 sq.ft.', 'area_sub_heading_two': '(325.16 - 377.18 sq.m.)', 'price_heading': '₹ 3.54 - 4.11 Cr'}]",Towers|4|Floors|39|Units|928|Total Project Area|7.56 acres (30.59K sq.m.),MagicPropDealer,"['Community Hall', 'Sewage Treatment Plant', 'Rain Water Harvesting', 'Gated Community', '24/7 Water Supply', 'Landscape Garden', 'Lift(s)', 'Car Parking', 'Garbage Disposal']","{'Nehru Outer Ring Road': '4.9 Km', 'Ocean Park': '4.9 Km', 'Sheraton Hyderabad Hotel': '6 Km', 'Keystone International School': '7.1 Km', 'Himagiri Hospitals': '9.8 Km', 'Gachibowli stadium': '10.3 Km', 'University of Hyderabad': '11.8 Km', 'Telapur Railway Station': '12.5 Km', 'Raidurg Metro Station': '13.1 Km', 'Atrium Mall': '13.4 Km', 'Begumpet Airport': '26.5 Km'}"
Sukhii Ubuntu,https://www.99acres.com/sukhii-ubuntu-puppalaguda-hyderabad-npxid-r385165,₹ 1.32 - 1.96 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1500 - 1905 sq.ft.', 'area_sub_heading_two': '(139.35 - 176.98 sq.m.)', 'price_heading': '₹ 1.32 - 1.68 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '2230 sq.ft.', 'area_sub_heading_two': '(207.17 sq.m.)', 'price_heading': '₹ 1.96 Cr'}]",Towers|3|Floors|36|Units|865|Total Project Area|5.25 acres (21.25K sq.m.),SUKHII GROUPBuilder,"['Mini Theatre', 'Air Hockey', 'Foosball', 'Swimming Pool', 'Football', 'Lounge', 'Reading Lounge', 'Golf Course', 'Volley Ball Court']","{'Bhavana Model School': '2.7 km', 'Nehru Outer Ring Road': '4.4 km', 'Hyatt Hyderabad Gachibowli': '5.5 km', 'Spaces & More Business Park': '5.5 km', 'Continental Hospitals': '5.9 km', 'Inorbit Mall Cyberabad': '7.6 km', 'Gachibowli Stadium': '8.5 km', 'Boulder Hills Golf & Country Club': '8.2 km', 'University of Hyderabad': '10 km', 'Supreme Trampoline Park': '11.5 km', 'Miyapur metro station': '16.8 km', 'Nagalapalli rlwy station': '19.1 km', 'Rajiv Gandhi lntl Airport': '28.5 km'}"
The Bodhivriksha,https://www.99acres.com/the-bodhivriksha-appa-junction-hyderabad-npxid-r380942,₹ 78.48 L - 1.31 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1090 - 1229 sq.ft.', 'area_sub_heading_two': '(101.26 - 114.18 sq.m.)', 'price_heading': '₹ 78.48 - 88.49 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1294 - 1815 sq.ft.', 'area_sub_heading_two': '(120.22 - 168.62 sq.m.)', 'price_heading': '₹ 93.17 L - 1.31 Cr'}]",Towers|3|Floors|8|Units|772|Total Project Area|11.6 acres (46.94K sq.m.),Shanta Sriram Constructions Pvt. Ltd.Builder,"['Natural Pond', 'Swimming Pool', 'Theater Home', 'Reflexology Park', 'Aerobics Centre', 'Gazebo', 'Banquet Hall', 'Sun Deck', 'Lawn Tennis Court']","{'T I M E School Bandlaguda': '3.2 Km', 'League City Mall & Multiplex': '2 Km', 'Shadan Hospital': '1.4 Km', 'Nehru Outer Ring Road': '2.9 Km', 'Mrugavani National Park': '6.7 Km', 'Golconda Fort': '6.9 Km', 'R.P. Business Park': '11.7 Km', 'Rajiv Gandhi International Airport': '21 Km', 'TSPA Junction': '3.4km'}"
Shanta Sriram Brookwoods,https://www.99acres.com/shanta-sriram-brookwoods-kismathpur-hyderabad-npxid-r85425,₹ 4.1 - 6.75 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Villa', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '3152.03 - 3768.91 sq.ft.', 'area_sub_heading_two': '(292.83 - 350.14 sq.m.)', 'price_heading': '₹ 4.1 - 4.9 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Villa', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '3795.37 - 5193.1 sq.ft.', 'area_sub_heading_two': '(352.6 - 482.45 sq.m.)', 'price_heading': '₹ 4.93 - 6.75 Cr'}]",Towers|1|Floors|2|Units|56|Total Project Area|6.5 acres (26.3K sq.m.),Shanta Sriram Constructions Pvt. Ltd.Builder,"['Swimming Pool', 'Business Lounge', 'Solar Lighting', 'Visitors Parking', 'Sauna', 'Jacuzzi', 'Spa', 'Steam Room', 'Water Softener Plant']","{'Nehru Outer Ring Road': '4.2 Km', 'Rishitha Hospitals': '4.7 Km', 'K L University Hyderabad': '6.2 Km', 'Sreenidhi International School': '6.3 Km', 'Mantra Mall': '7 Km', 'Ocean Park': '12.4 Km', 'Raidurg Metro Station': '16.1 Km', 'International Tech Park': '16.7 Km', 'Hyderabad Deccan railway station': '17.3 Km', 'Rajiv Gandhi International Airport': '20.9 Km'}"
Hallmark Treasor,https://www.99acres.com/hallmark-treasor-kokapet-hyderabad-npxid-r379760,₹ 1.59 - 4.57 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1765 - 5080 sq.ft.', 'area_sub_heading_two': '(163.97 - 471.95 sq.m.)', 'price_heading': '₹ 1.59 - 4.57 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '3530 - 4080 sq.ft.', 'area_sub_heading_two': '(327.95 - 379.04 sq.m.)', 'price_heading': '₹ 3.18 - 3.67 Cr'}]",Towers|1|Floors|30|Units|526|Total Project Area|4.62 acres (18.7K sq.m.)|Open Area|70 %,Hallmark BuildersBuilder,"['Swimming Pool', 'Changing Area', 'Salon', 'Waiting Lounge', 'Piped Gas', 'Spa', 'Water Softener Plant', 'Creche/Day care', 'Skating Rink']","{'Rockwell International School': '700 Mtr', 'Ocean Park': '2.8 Km', 'NH 19': '6 Km', 'Continental Hospitals': '6.8 Km', 'Maulana Azad National Urdu University': '9.7 Km', 'Hyderabad Golf Club': '10.6 Km', 'Gachibowli Stadium': '10.9 Km', 'Sarath City Capital Mall': '11.3 Km', 'International Tech Park': '11.9 Km', 'ITC Kohenur': '12.8 Km', 'HITEC City Metro Station': '13.1 Km', 'Borabanda Railway Station': '17.5 Km', 'Rajiv Gandhi International Airport': '27 Km'}"
Venkatadri Vajra S Abode,https://www.99acres.com/venkatadri-vajra-s-abode-kukatpally-hyderabad-npxid-r399654,Price on Request,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1191 - 1300 sq.ft.', 'area_sub_heading_two': '(110.65 - 120.77 sq.m.)', 'price_heading': 'Price on Request'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1446 - 1730 sq.ft.', 'area_sub_heading_two': '(134.34 - 160.72 sq.m.)', 'price_heading': 'Price on Request'}]",Towers|4|Floors|10|Units|406|Total Project Area|4.44 acres (17.97K sq.m.),VENKATADRI DEVELOPERS PRIVATE LIMITEDBuilder,"['24/7 Water Supply', 'Lift(s)', 'Car Parking', 'Fire Fighting Systems']","{'Mumbai Highway': '1.2 Km', 'Balanagar Metro Station': '1.6 Km', 'Akshara International School': '1.7 Km', 'Amor Hospital': '1.9 Km', 'Bharatnagar Railway Station': '3.5 Km', 'Jawaharlal Nehru IT University Hyderabad': '5 Km', 'Manjeera Mall': '5.5 Km', 'Silver Oak Kala Jyothi Golf Course': '8.8 Km', 'Avasa': '9.4 Km', 'Begumpet Airport': '10 Km', 'Ascendas IT Park': '10.9 Km', 'Jalavihar Water Park': '14 Km', 'Gachibowli Stadium': '15.7 Km'}"
Nirvana Elite 5,https://www.99acres.com/nirvana-elite-5-madhapur-hyderabad-npxid-r406597,₹ 3.96 Cr,"[{'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '3600 sq.ft.', 'area_sub_heading_two': '(334.45 sq.m.)', 'price_heading': '₹ 3.96 Cr'}]",Units|5|Total Project Area|0.09 acres (364.22K sq.m.),Nirvana Infrabuild Pvt LtdBuilder,"['Jacuzzi', 'Theatre', 'Power Back up Lift', '24x7 Security', '24/7 Power Backup', 'Gymnasium', 'Lift(s)', 'Car Parking']",{}
Nirvana Belleza,https://www.99acres.com/nirvana-belleza-kondapur-hyderabad-npxid-r420793,₹ 1.46 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1890 sq.ft.', 'area_sub_heading_two': '(175.59 sq.m.)', 'price_heading': '₹ 1.46 Cr'}]",Units|8|Total Project Area|0.11 acres (445.15K sq.m.),Nirvana Infrabuild Pvt LtdBuilder,"['Solar Water Heating', 'Earthquake Resistant', 'Vastu Compliant', 'Rain Water Harvesting', '24/7 Power Backup', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)']","{'Botanical Garden': '3.2km', 'Gachibowli Stadium': '5.3km', 'TCS Synergy Park': '4km', 'AMB Mall': '3.1km', 'Arunodaya School': '500m', 'KIMS Hospitals': '10.1km', 'Lingampalli Station': '4.6km', 'Miyapur Metro Station': '6.6km', 'Begumpet Airport': '18.6km', 'Hyderabad Golf Club': '13.3km', 'ITC Kohenur': '7.6km', 'University of Hyderabad': '2km'}"
Hirize Elysia,https://www.99acres.com/hirize-elysia-kokapet-hyderabad-npxid-r403815,₹ 1.23 - 2.53 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1635 - 3380 sq.ft.', 'area_sub_heading_two': '(151.9 - 314.01 sq.m.)', 'price_heading': '₹ 1.23 - 2.53 Cr'}]",Towers|3|Floors|9|Units|371|Total Project Area|3.8 acres (15.38K sq.m.),Hirize DevelopersBuilder,"['Infinity Pool', 'Swimming Pool', 'Solar Lighting', 'Barbecue', 'Pergola', 'Theatre', 'Banquet Hall', 'Cricket Pitch', 'Lawn Tennis Court']","{'Rockwell International School': '1.5 Km', 'The Golkonda Resorts & Spa': '3.2 Km', 'Ocean Park': '3.6 Km', 'Nehru Outer Ring Road': '4.5 Km', 'MEIL Leaf Golf Course': '8.9 Km', 'InfosyeIt Park': '10.3 Km', 'Maulana Azad National Urdu University': '10.5 Km', 'CARE Hospitals': '11.3 Km', 'Gachibowli stadium': '11.3 Km', 'Raidurg Metro Station': '11.9 Km', 'Sarath City Capital Mall': '12.1 Km', 'Hi-Tech City Railway Station': '18.9 Km', 'Begumpet Airport': '23.1 Km'}"
Sri Aditya Green Tech O2 Community,https://www.99acres.com/sri-aditya-green-tech-o2-community-beeramguda-hyderabad-npxid-r380570,₹ 2.69 - 3.01 Cr,"[{'config_band_label': '4 BHK', 'config_band_heading': 'Villa', 'area_type_style': 'Built-up Area', 'area_sub_heading_one': '3360 - 3759 sq.ft.', 'area_sub_heading_two': '(312.15 - 349.22 sq.m.)', 'price_heading': '₹ 2.69 - 3.01 Cr'}]",Floors|3|Units|274|Total Project Area|21 acres (84.98K sq.m.),Sri Aditya Squares NBuilder,"['Swimming Pool', 'Medical Centre', 'Salon', 'Solar Lighting', 'ATM', 'Aerobics Centre', 'Solar Water Heating', 'Spa', 'Water Softener Plant']","{'Gachibowli': '16 kms', 'Oakdale Campus': '1.8 kms', 'Nehru Outer Ring': '2.5 kms', 'Beeramguda Arch': '7.5 kms', 'BHEL Junction': '9.5 kms', 'Max Care Hospital': '4.8 kms'}"
