property_name,link,price,configuration,specifications,seller,facilities,advantages
Manepally Lakeview Grandeur,https://www.99acres.com/manepally-lakeview-grandeur-turkayamjal-hyderabad-npxid-r384442,₹ 52.49 L - 1.22 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1050 - 1580 sq.ft.', 'area_sub_heading_two': '(97.55 - 146.79 sq.m.)', 'price_heading': '₹ 52.49 - 78.98 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1400 - 2440 sq.ft.', 'area_sub_heading_two': '(130.06 - 226.68 sq.m.)', 'price_heading': '₹ 69.99 L - 1.22 Cr'}]",Towers|1|Floors|5|Units|420|Total Project Area|3.93 acres (15.9K sq.m.),MANEPALLY REALTY & INFRA LLPBuilder,"['Sewage Treatment Plant', 'Rain Water Harvesting', '24/7 Power Backup', '24/7 Water Supply', 'Landscape Garden', 'Lift(s)', 'Car Parking']","{'Apollo Pharmacy': '1 km', 'Jayasri hospital': '500m', 'Shivaji Statue': '600m', 'Huppuguda Railway Station': '13.2Km', 'Rajiv Gandhi International Airport': '16.8Km', 'Hotel Tulip Grand': '1.6 km', 'Medplus Pharmacy': '1 km', 'Sloka School': '1.8 km', 'TCS Adibatla': '6.5 km'}"
Makuta My Space 2,https://www.99acres.com/makuta-my-space-2-bachupally-hyderabad-npxid-r398209,₹ 69.55 L - 1.62 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1070 - 1625 sq.ft.', 'area_sub_heading_two': '(99.41 - 150.97 sq.m.)', 'price_heading': '₹ 69.55 L - 1.06 Cr'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1425 - 2485 sq.ft.', 'area_sub_heading_two': '(132.39 - 230.86 sq.m.)', 'price_heading': '₹ 92.63 L - 1.62 Cr'}]",Towers|6|Floors|18|Units|804|Total Project Area|5.9 acres (23.88K sq.m.),Makuta DevelopersBuilder,"['Swimming Pool', 'Volley Ball Court', 'Solar Lighting', 'High Speed Elevators', 'Skating Rink', 'Shopping Centre', 'Cricket Pitch', 'Amphitheatre', 'Party Lawn']","{'KL University Bowrampet': '2.4 Km', 'Oakridge International School': '3.7 Km', 'Mumbai Highway (NH 65)': '6.3 Km', 'My Health Hospitals': '8.4 Km', 'Miyapur Metro Station': '8.4 Km', 'Hi-Tech City Railway Station': '10.9 Km', 'Novotel Hyderabad Convention Centre': '11.8 Km', 'Rajiv Gandhi International Airport': '41.3 Km'}"
Samshraya Homes,https://www.99acres.com/samshraya-homes-kukatpally-hyderabad-npxid-r371834,₹ 78.2 - 96.83 L,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1150 - 1423.85 sq.ft.', 'area_sub_heading_two': '(106.84 - 132.28 sq.m.)', 'price_heading': '₹ 78.2 - 96.83 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1423.1 - 1424 sq.ft.', 'area_sub_heading_two': '(132.21 - 132.29 sq.m.)', 'price_heading': '₹ 96.76 - 96.83 L'}]",Towers|1|Floors|8|Units|144|Total Project Area|1.460380449 acres (5.91K sq.m.),H&M Avenue Projects Pvt LtdBuilder,"['Swimming Pool', 'Changing Area', 'Cricket Pitch', 'Community Hall', 'Badminton Court', 'Indoor Games', 'Sewage Treatment Plant', 'CCTV Camera Security', 'Jogging Track']","{'Balanagar': 'Nearby', 'Radcliffe School': '2 km away', 'Vasundhara Hospital': '2.5 km away', 'D-Mart': '1 km away', 'Moosapet': 'Close proximity', 'BBR Super Speciality': '3.5 km away', 'Pinnacle Institute': '2.5 km away', 'Ramdev Rao Hospital': '4 km away', 'Ashoka Mall': '1.5 km away', 'The Creek Planet School': '3 km away', 'Sandhya Hospital': '5 km away', 'Metro Cash Carry': '2 km away', 'Wisdom High School': '5.5 km away', 'Amor Hospita': '500 mtrs away', 'Manjeera Mall': '6 km away'}"
AR Homes Rise,https://www.99acres.com/ar-homes-rise-kollur-hyderabad-npxid-r415905,₹ 64.99 L - 1.8 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1300 sq.ft.', 'area_sub_heading_two': '(120.77 sq.m.)', 'price_heading': '₹ 64.99 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1385 - 2165 sq.ft.', 'area_sub_heading_two': '(128.67 - 201.14 sq.m.)', 'price_heading': '₹ 69.24 L - 1.08 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '2645 - 3605 sq.ft.', 'area_sub_heading_two': '(245.73 - 334.92 sq.m.)', 'price_heading': '₹ 1.32 - 1.8 Cr'}]",Towers|5|Floors|15|Units|750|Total Project Area|6.7 acres (27.11K sq.m.)|Open Area|65 %,AR HOMESBuilder,"['Pergola', 'Cricket Pitch', 'Jogging Track', '24x7 Security', 'Gated Community', 'Landscape Garden', ""Children's Play Area"", 'Car Parking', 'Chess']",{}
GNRs Vasavi Nirvana,https://www.99acres.com/gnrs-vasavi-nirvana-attapur-hyderabad-npxid-r383626,₹ 1.02 - 2.07 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1395 - 2840 sq.ft.', 'area_sub_heading_two': '(129.6 - 263.84 sq.m.)', 'price_heading': '₹ 1.02 - 2.07 Cr'}]",Towers|2|Floors|10|Units|180|Total Project Area|1.8 acres (7.28K sq.m.)|Open Area|57 %,SHREE VASAVI DEVELOPERSBuilder,"['Swimming Pool', 'Lounge', 'Business Lounge', 'Barbecue', 'Visitors Parking', 'Terrace Garden', 'Waiting Lounge', 'Piped Gas', 'Spa']","{'Satyam Hospital': '350 Meter', 'Mantra Mall': '2.2 Km', 'PV Narasimha Rao Expy': '2.4 Km', 'Solitaire Global Schools': '3.2 Km', 'Hyderabad Golf Club': '6 Km', 'Quli Qutub Shah Stadium': '6.6 Km', 'Jawaharlal Nehru Architecture University': '6.9 Km', 'Gandhi Bhavan Metro Station': '9 Km', 'Dabirpura Railway Station': '9.1 Km', 'Taj Falaknuma Palace': '9.2 Km', 'International Tech Park': '13.1 Km', 'Ocean Park': '14.6 Km', 'Rajiv Gandhi International Airport': '23 Km'}"
Hallmark Sunnyside,https://www.99acres.com/hallmark-sunnyside-narsingi-hyderabad-npxid-r367139,₹ 89.3 L - 1.74 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1145 - 1290 sq.ft.', 'area_sub_heading_two': '(106.37 - 119.84 sq.m.)', 'price_heading': '₹ 89.3 L - 1.01 Cr'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1528 - 2228 sq.ft.', 'area_sub_heading_two': '(141.96 - 206.99 sq.m.)', 'price_heading': '₹ 1.19 - 1.74 Cr'}]",Towers|5|Floors|9|Units|499|Total Project Area|5.7 acres (23.07K sq.m.)|Open Area|80 %,Hallmark BuildersBuilder,"['Swimming Pool', 'Volley Ball Court', 'Piped Gas', 'Cricket Pitch', 'Sun Deck', 'Video Door Security', 'Badminton Court', 'CCTV Camera Security', '24x7 Security']","{'Nehru Outer Ring Road': '3.6 Km', 'Rockwell International School': '4.1 Km', 'Ocean Park': '5.6 Km', 'Hyatt Hyderabad Gachibowli': '7.4 Km', 'InfosyeIt Park': '7.8 Km', 'Pinegrove Junior College': '10.2 Km', 'Hyderabad Golf Club': '10.2 Km', 'Raidurg Metro Station': '11.1 Km', 'Gachibowli Stadium': '11.2 Km', 'KIMS Hospitals Gachibowli': '11.7 Km', 'Nagalapalli Railway Station': '18.8 Km', 'Begumpet Airport': '22.4 Km'}"
Bhashyam Rainbow County,https://www.99acres.com/bhashyam-rainbow-county-shad-nagar-hyderabad-npxid-r419662,₹ 33.29 - 73.98 L,"[{'config_band_label': 'Land', 'config_band_heading': '', 'area_type_style': 'Plot Area', 'area_sub_heading_one': '1620 - 3600 sq.ft.', 'area_sub_heading_two': '(150.5 - 334.45 sq.m.)', 'price_heading': '₹ 33.29 - 73.98 L'}]",Units|380|Total Project Area|25 acres (101.17K sq.m.)|Open Area|50 %,Bhashyam DevelopersBuilder,"['Swimming Pool', 'Vastu Compliant', 'Club House', 'Gated Community', ""Children's Play Area"", 'Internal Street Lights']",{}
The Pearl By Auro Realty,https://www.99acres.com/the-pearl-by-auro-realty-hi-tech-city-hyderabad-npxid-r398301,₹ 6.62 - 6.75 Cr,"[{'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '5300 - 5400 sq.ft.', 'area_sub_heading_two': '(492.39 - 501.68 sq.m.)', 'price_heading': '₹ 6.62 - 6.75 Cr'}]",Towers|7|Floors|33|Units|414|Total Project Area|8.54 acres (34.56K sq.m.),AURO REALTY PRIVATE LIMITEDBuilder,"['Bowling Alley', 'Infinity Pool', 'Swimming Pool', 'Aerobics Centre', 'Billiards', 'Basketball Court', 'Yoga/Meditation Area', 'Indoor Games', 'Jogging Track']","{'Hitex Exhibition Center': '1.3 km', 'Forum Sujana Mall': '3.4 km', 'Inorbit Mall': '4.9 km', 'Cyber Tower Metro Station': '2.4 km', 'Rajiv Gandhi Int. Airport': '33.7 km', 'Botanical Garden': '3.6 km', 'CHIREC Int. School': '5.1 km', 'Oakridge Int. School': '8.5 km', 'Delhi Public School': '9.1 km', 'Meridian School': '2.2 km', 'Gaudium school': '9 km', 'Trident Hotel': '2.9 km', 'Novotel Hotel': '1.3 km', 'Yashoda Hospital': '500 m', 'Image Hospital': '4.2 km'}"
Madhu Park Ville,https://www.99acres.com/madhu-park-ville-tellapur-hyderabad-npxid-r69896,₹ 95.07 L - 1.38 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1509 sq.ft.', 'area_sub_heading_two': '(140.19 sq.m.)', 'price_heading': '₹ 95.07 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1962 - 2189 sq.ft.', 'area_sub_heading_two': '(182.28 - 203.36 sq.m.)', 'price_heading': '₹ 1.24 - 1.38 Cr'}]",Towers|2|Floors|15|Units|350|Total Project Area|3.1 acres (12.55K sq.m.),Madhu Infrastructure Private LimitedBuilder,"['Swimming Pool', 'Property Staff', 'Video Door Security', 'Vastu Compliant', 'Multipurpose Hall', 'Indoor Games', 'Sewage Treatment Plant', 'CCTV Camera Security', 'Rain Water Harvesting']",{}
Lumbini Elysee,https://www.99acres.com/lumbini-elysee-financial-district-hyderabad-npxid-r406584,₹ 2.09 - 4.19 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '2101 - 3128 sq.ft.', 'area_sub_heading_two': '(195.19 - 290.6 sq.m.)', 'price_heading': '₹ 2.09 - 3.11 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '4143 - 4214 sq.ft.', 'area_sub_heading_two': '(384.9 - 391.49 sq.m.)', 'price_heading': '₹ 4.12 - 4.19 Cr'}]",Towers|10|Floors|15|Units|156|Total Project Area|2.27 acres (9.19K sq.m.),LUMBINI CONSTRUCTIONS PRIVATE LIMITEDBuilder,"['Infinity Pool', 'Aerobics Centre', 'Piped Gas', 'Skating Rink', 'Cricket Pitch', 'Multipurpose Court', 'Basketball Court', 'Badminton Court', 'Multipurpose Hall']","{'Hyatt Hyderabad Gachibowli': '1.2 Km', 'Keystone International School': '1.6 Km', 'Nehru Outer Ring Road': '3 Km', 'Himagiri Hospitals': '5.5 Km', 'Gachibowli Stadium': '6 Km', 'Raidurg Metro Station': '7.4 Km', 'Ocean Park': '7.7 Km', 'Maulana Azad National Urdu University': '7.9 Km', 'Raheja Mindspace IT Park': '8.3 Km', 'Inorbit Mall Cyberabad': '8.5 Km', 'Hyderabad Golf Club': '11.2 Km', 'Hi-Tech City Railway Station': '14.4 Km', 'Begumpet Airport': '18.6 Km'}"
